,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
5279,Tata Zest Revotron 1.2T XE,2017,65000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,4800.0
1089,Nissan Terrano XL,2014,40000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.5 bhp,5.0,5250.0
74,Honda Brio VX AT,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5.0,6460.0
5994,Honda City 1.5 E MT,2009,60000,Petrol,Manual,Third,17.0 kmpl,1497 CC,118 bhp,5.0,3250.0
5,Hyundai EON LPG Era Plus Option,2012,75000,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5.0,2350.0
4568,Hyundai i20 Asta 1.4 CRDi,2012,80000,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,5.0,4500.0
5719,Honda Amaze S i-Vtech,2015,47234,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,5090.0
3649,Tata Indigo LS,2008,300000,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5.0,1000.0
5106,Maruti Ritz VXi,2011,50318,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,4059.9999999999995
3121,Maruti Swift Dzire ZXi,2009,60000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,2450.0
2060,Audi A4 2.0 TDI 177 Bhp Technology Edition,2014,24000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,25000.0
4979,Mahindra XUV500 W6 2WD,2015,37000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,9300.0
1881,Chevrolet Enjoy 1.3 TCDi LS 8,2015,50000,Diesel,Manual,First,18.2 kmpl,1248 CC,73.74 bhp,8.0,4300.0
3560,Volkswagen Vento Petrol Highline,2011,37000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,4800.0
5216,Volkswagen Jetta 2012-2014 2.0L TDI Highline AT,2011,110000,Diesel,Automatic,First,16.96 kmpl,1968 CC,138.1 bhp,5.0,8000.0
4551,BMW 5 Series 520d Luxury Line,2011,51602,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,17270.0
3906,Hyundai Grand i10 CRDi Sportz,2014,43068,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,3500.0
3707,Honda Mobilio V Option i DTEC,2014,80000,Diesel,Manual,Second,24.2 kmpl,1498 CC,98.6 bhp,7.0,4850.0
1942,Honda Jazz 1.5 S i DTEC,2016,43000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,7750.0
3419,Maruti Alto 800 LXI,2015,61000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,2150.0
640,BMW 5 Series 2013-2017 520d Luxury Line,2016,19658,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5.0,35840.0
1294,Honda City 1.3 DX,2009,55005,Petrol,Manual,First,12.8 kmpl,,,,3200.0
4530,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2013,100000,Diesel,Automatic,First,12.0 kmpl,2987 CC,224 bhp,7.0,32000.0
852,Hyundai Santro Xing GL Plus,2013,31000,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,1750.0
5429,Audi A4 2.0 TDI,2009,46000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,9950.0
5703,Hyundai Verna 1.6 SX VTVT,2017,41534,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,7990.0
2665,Maruti Alto K10 VXI,2018,46805,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,3630.0
2749,Maruti Wagon R LXI,2010,37822,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,2350.0
5873,Hyundai Santro Xing XO eRLX Euro II,2006,47200,Petrol,Manual,Second,17.0 kmpl,1086 CC,null bhp,5.0,1200.0
5932,Maruti Alto 800 2016-2019 LXI,2016,5700,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,2800.0
5878,Hyundai Grand i10 Asta,2014,37000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,3450.0
2932,Renault Duster 85PS Diesel RxL Option,2012,79824,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,5250.0
1973,Maruti Swift Dzire VXI,2012,65097,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,4700.0
97,Hyundai Verna Transform SX VGT CRDi,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5.0,3450.0
2145,Ford Endeavour 2.2 Titanium AT 4X2,2018,14000,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7.0,31990.0
1053,Ford Ecosport 1.5 DV5 MT Titanium,2013,69000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,7200.0
2450,Tata Indica DLS,2009,75648,Diesel,Manual,First,13.5 kmpl,1405 CC,null bhp,5.0,820.0
164,Ford Ecosport 1.5 DV5 MT Ambiente,2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,4420.0
2510,BMW 3 Series 320d Luxury Line,2014,18600,Diesel,Automatic,Second,22.69 kmpl,1995 CC,190 bhp,5.0,21000.0
2964,Honda City V AT,2014,46728,Petrol,Automatic,First,15.6 kmpl,1497 CC,116.3 bhp,5.0,6150.0
5507,Maruti Dzire LDI,2017,48000,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,6000.0
3779,Toyota Etios Liva G,2015,52207,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,4560.0
2837,Mahindra XUV500 W8 2WD,2015,59182,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,9460.0
2163,BMW 5 Series 523i Sedan,2010,74000,Petrol,Automatic,First,10.8 kmpl,2497 CC,150 bhp,5.0,12950.0
4371,Maruti Ciaz AT ZXi,2015,50940,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5.0,6950.0
4061,Audi RS5 Coupe,2013,23312,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4.0,40500.0
1192,Volvo S60 D4 Momentum,2015,51000,Diesel,Automatic,First,27.03 kmpl,1969 CC,190 bhp,5.0,25000.0
3920,Skoda Octavia Classic 1.9 TDI MT,2005,88000,Diesel,Manual,Third,18.7 kmpl,1896 CC,66 bhp,5.0,1250.0
4934,Maruti Dzire AMT VDI,2018,25082,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,8370.0
5257,Hyundai Xcent 1.2 Kappa S,2016,146000,Petrol,Manual,Second,19.1 kmpl,1197 CC,82 bhp,5.0,3500.0
2352,Renault Duster 110PS Diesel RxZ,2014,74500,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,7950.0
3773,Hyundai Grand i10 AT Asta,2015,15000,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,5500.0
502,Chevrolet Beat LS,2012,32717,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,2550.0
406,BMW 5 Series 525d Sedan,2013,56000,Diesel,Automatic,First,16.73 kmpl,2993 CC,218 bhp,5.0,33500.0
5592,Toyota Fortuner 4x4 MT,2013,123000,Diesel,Manual,Second,12.55 kmpl,2982 CC,168.5 bhp,7.0,15000.0
3558,Ford Figo Diesel ZXI,2014,66000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,3470.0
5591,Honda Civic 2006-2010 1.8 S MT,2006,125000,Petrol,Manual,Second,13.5 kmpl,1799 CC,130 bhp,5.0,2300.0
627,Hyundai i20 Asta 1.4 CRDi,2014,67407,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,5.0,4650.0
619,BMW 3 Series 320d Prestige,2013,37500,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,16750.0
4717,Hyundai Xcent 1.2 Kappa Base,2015,23000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,4900.0
2129,Hyundai Santa Fe 2WD AT,2012,86000,Diesel,Automatic,Second,13.01 kmpl,2199 CC,194.3 bhp,7.0,9500.0
2190,Mercedes-Benz E-Class E250 CDI Launch Edition,2016,46936,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5.0,29600.0
5409,Hyundai EON Era,2015,28700,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,2600.0
5400,Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,69000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,5450.0
3830,Toyota Fortuner 4x2 AT,2014,79000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,17750.0
1552,Mahindra XUV500 W10 2WD,2017,64961,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,16129.999999999998
366,Toyota Etios GD,2014,45000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.05 bhp,5.0,3250.0
5187,Hyundai Verna 1.6 SX VTVT AT,2014,48656,Petrol,Automatic,First,15.74 kmpl,1591 CC,121.3 bhp,5.0,5500.0
2480,Honda Accord 2.4 M/T,2012,64709,Petrol,Manual,Second,12.8 kmpl,2354 CC,177.6 bhp,5.0,6000.0
5612,Maruti Swift Dzire Tour LDI,2013,160000,Diesel,Manual,Second,23.4 kmpl,1248 CC,74 bhp,5.0,2500.0
4561,Tata Nano Cx BSIV,2014,42083,Petrol,Manual,First,25.4 kmpl,624 CC,37.48 bhp,4.0,1680.0
155,Hyundai EON Magna Plus,2019,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,4230.0
4271,Honda City 1.5 V AT,2010,62000,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5.0,3550.0
5490,Renault Fluence Diesel E4,2013,57000,Diesel,Manual,First,21.8 kmpl,1461 CC,78 bhp,5.0,4610.0
2509,Mercedes-Benz E-Class E 220 d,2018,11000,Diesel,Automatic,First,16.1 kmpl,1950 CC,194 bhp,5.0,56500.0
578,Volkswagen Polo 1.5 TDI Highline,2018,33558,Diesel,Manual,First,20.14 kmpl,1498 CC,88 bhp,5.0,8119.999999999999
3243,Maruti Swift VDI,2012,63000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,4500.0
3466,Hyundai i20 1.2 Asta Option,2017,12000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,7750.0
4615,Mercedes-Benz New C-Class C 220 CDI Celebration Edition,2016,34000,Diesel,Automatic,First,11.78 kmpl,2143 CC,167.62 bhp,5.0,25500.0
2530,BMW 5 Series 520d Sedan,2014,64158,Diesel,Automatic,First,18.48 kmpl,,,,17890.0
2227,Ford Ecosport 1.5 DV5 MT Titanium Optional,2015,56409,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,6630.0
5250,Hyundai Verna XXi ABS (Petrol),2008,38000,Petrol,Manual,Second,13.9 kmpl,1599 CC,103.2 bhp,5.0,2600.0
186,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,32000.0
458,BMW 3 Series Luxury Line,2016,19235,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,36500.0
4900,Hyundai Santro Xing XL AT eRLX Euro III,2007,71000,Petrol,Automatic,First,17.0 kmpl,1086 CC,null bhp,5.0,2400.0
2890,Ford EcoSport 1.5 Petrol Titanium Plus AT,2018,27852,Petrol,Automatic,First,14.8 kmpl,1497 CC,121.36 bhp,5.0,10440.0
3550,Honda City i-DTEC ZX,2017,42000,Diesel,Manual,First,25.6 kmpl,1498 CC,98.6 bhp,5.0,12000.0
5705,Chevrolet Aveo 1.4 LS,2007,42000,Petrol,Manual,First,14.49 kmpl,1399 CC,92.7 bhp,5.0,750.0
3943,Jeep Compass 2.0 Longitude,2018,26101,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5.0,17550.0
4224,Maruti Wagon R LXI BSIII,2008,82500,Petrol,Manual,First,14.0 kmpl,1061 CC,64 bhp,5.0,1750.0
1357,Maruti Wagon R LXI CNG,2014,40000,CNG,Manual,Second,26.6 km/kg,998 CC,58.16 bhp,5.0,3150.0
2878,Volkswagen Vento 1.5 TDI Highline AT,2017,33550,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,9600.0
434,Renault Captur 1.5 Diesel RXL,2019,24950,Diesel,Manual,First,20.37 kmpl,1461 CC,108.45 bhp,5.0,13370.0
225,Maruti Wagon R VXI,2013,32000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,2650.0
5642,Maruti Baleno LXI,2006,155000,Petrol,Manual,Third,15.4 kmpl,1590 CC,94 bhp,5.0,850.0
1571,Maruti Wagon R LX BS IV,2011,71000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,2600.0
2442,Hyundai EON Era Plus,2016,70000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,3000.0
67,Mercedes-Benz C-Class Progressive C 220d,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,35670.0
361,Nissan Micra Diesel XV,2011,83000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,2750.0
4133,Hyundai i20 1.2 Asta with AVN,2015,20045,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,6220.0
4923,Nissan Micra Active XV S,2015,28500,Petrol,Manual,First,19.49 kmpl,1198 CC,67.04 bhp,5.0,3500.0
2241,Maruti Swift Dzire VXI,2015,33195,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,6260.0
3090,Hyundai Verna CRDi,2010,72010,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5.0,4450.0
3592,Honda Amaze E i-Vtech,2015,51361,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,4940.0
112,Tata Nano Twist XT,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,2150.0
542,Hyundai i20 Asta 1.4 CRDi,2014,43900,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,6750.0
4725,Skoda Rapid 1.6 MPI AT Ambition Plus,2014,96848,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.6 bhp,5.0,4620.0
5661,Hyundai Verna CRDi,2009,64514,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5.0,2900.0
2437,Tata Indigo CS Emax CNG GLX,2015,75000,CNG,Manual,First,24.6 km/kg,1193 CC,55.23 bhp,5.0,3250.0
152,Mercedes-Benz S Class 2005 2013 S 500,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5.0,30000.0
5094,Mercedes-Benz GLC 220d Celebration Edition,2017,26192,Diesel,Automatic,First,17.9 kmpl,2143 CC,168 bhp,5.0,40470.0
813,Maruti Alto K10 LXI,2014,49000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,2300.0
4026,Maruti Alto K10 VXI,2016,51264,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,3200.0
3810,Honda CR-V AT With Sun Roof,2013,27000,Petrol,Automatic,First,14.0 kmpl,,,,11990.0
3017,Mini Cooper S Carbon Edition,2018,2971,Petrol,Automatic,First,13.6 kmpl,1598 CC,181 bhp,4.0,39750.0
3304,Hyundai Verna Transform CRDi VGT SX ABS,2010,120000,Diesel,Manual,Second,16.2 kmpl,1493 CC,110 bhp,5.0,3500.0
5194,Volkswagen Polo 1.5 TDI Highline,2014,46000,Diesel,Manual,Second,20.14 kmpl,1498 CC,88.8 bhp,5.0,5900.0
1689,BMW 5 Series 520d Luxury Line,2018,32586,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,37300.0
4526,Toyota Innova 2.5 V Diesel 8-seater,2015,100000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,13500.0
2829,Maruti Wagon R Stingray VXI,2013,32378,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,2800.0
431,Maruti Baleno Alpha Automatic,2018,12831,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,9890.0
3654,Maruti Ritz LDi,2016,120000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,3650.0
3706,BMW 3 Series Luxury Line,2016,31000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,29950.0
1726,Ford Figo 1.5D Titanium Plus MT,2015,1001,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5.0,7550.0
3317,Toyota Fortuner 4x2 AT,2014,89540,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,16800.0
362,Maruti Swift Dzire Tour LDI,2015,130000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,3250.0
4288,Honda City ZX GXi,2007,63000,Petrol,Manual,Second,17.7 kmpl,1497 CC,78 bhp,5.0,1750.0
5273,Tata Indica V2 DL BSIII,2004,200000,Diesel,Manual,Second,17.88 kmpl,1396 CC,52.8 bhp,5.0,850.0
526,Maruti Swift VXI,2019,20667,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,6370.0
1230,Toyota Corolla Altis 1.4 DG,2012,52000,Diesel,Manual,First,21.43 kmpl,1364 CC,86.79 bhp,5.0,6500.0
5726,Mahindra Scorpio VLX 2WD BSIV,2014,90000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,7900.0
3754,Honda Civic 2006-2010 1.8 S MT,2008,87000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,2350.0
244,Toyota Innova 2.5 V Diesel 7-seater,2014,118000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,10750.0
1199,Nissan Terrano XL,2014,28238,Petrol,Manual,First,13.24 kmpl,1598 CC,102.5 bhp,5.0,5550.0
898,Honda City V MT,2010,43000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,5.0,3750.0
2435,Hyundai i20 Sportz 1.2,2016,61823,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,6140.0
4442,Tata Indica V2 eLS,2016,80103,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,1800.0
3927,Maruti Ciaz Alpha,2017,19416,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,8250.0
2658,Skoda Rapid 1.5 TDI AT Elegance,2015,66122,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,5960.0
2893,Toyota Innova 2.5 VX (Diesel) 8 Seater,2011,150000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,6950.0
2176,Volkswagen Vento 1.6 Highline,2015,40194,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,5550.0
4619,Nissan Micra Diesel XV Premium,2013,71007,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,3900.0
4967,Honda Brio S Option MT,2012,25000,Petrol,Manual,First,18.4 kmpl,1198 CC,86.8 bhp,5.0,2750.0
1775,Honda Amaze E i-Vtech,2013,40000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,2900.0
2705,Hyundai Santro Xing GLS,2008,68282,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,2250.0
2961,Honda Amaze S AT i-Vtech,2015,42023,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,5.0,4340.0
964,Audi A4 2.0 TDI,2009,34000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,9950.0
4932,Hyundai Grand i10 CRDi Sportz,2014,51134,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,4720.0
3528,Toyota Fortuner 4x2 4 Speed AT,2015,70000,Diesel,Automatic,First,11.5 kmpl,2982 CC,169 bhp,7.0,19480.0
5757,Toyota Innova Crysta 2.4 VX MT,2017,31000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,16950.0
550,Honda City ZX GXi,2009,69690,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,5.0,3290.0
1364,Honda Mobilio S i DTEC,2015,50000,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7.0,4700.0
4636,Maruti SX4 Zxi BSIII,2009,63274,Petrol,Manual,Second,15.0 kmpl,1586 CC,104.68 bhp,5.0,1990.0
3909,Hyundai Grand i10 AT Asta,2014,21000,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,5400.0
2740,Honda Civic 2006-2010 1.8 S MT,2009,89000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,4250.0
1598,Tata Xenon XT EX 4X2,2017,1000,Diesel,Manual,First,13.49 kmpl,2179 CC,138.03 bhp,5.0,7500.0
2727,Hyundai i20 Active S Diesel,2015,81310,Diesel,Manual,First,21.19 kmpl,1396 CC,88.76 bhp,5.0,5900.0
2029,Maruti SX4 ZXI MT BSIV,2013,84360,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5.0,4120.0
2729,Honda CR-V 2.4L 4WD MT,2008,75000,Petrol,Manual,Second,11.1 kmpl,2354 CC,158.8 bhp,5.0,3900.0
2585,BMW X1 sDrive 20d Exclusive,2012,65148,Diesel,Automatic,First,15.06 kmpl,1995 CC,177 bhp,5.0,12750.0
5407,Nissan Micra Diesel XV,2011,39010,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,2600.0
1796,Volkswagen Polo Petrol Highline 1.2L,2012,19030,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,3800.0
3933,Volvo XC60 D5,2015,100000,Diesel,Automatic,First,13.5 kmpl,2400 CC,215 bhp,5.0,32500.0
2693,Hyundai Verna 1.6 SX,2014,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,5700.0
4704,Mercedes-Benz M-Class ML 350 4Matic,2015,20000,Diesel,Automatic,First,0.0 kmpl,2987 CC,165 bhp,5.0,47350.0
192,Ford Figo Diesel ZXI,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,2600.0
5149,Tata Safari Storme 2012-2015 EX,2017,28000,Diesel,Manual,First,14.0 kmpl,2179 CC,138.1 bhp,7.0,10910.0
4765,Maruti Ertiga VXI,2014,69192,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,6250.0
6006,Mercedes-Benz M-Class ML 320 CDI,2009,102002,Diesel,Automatic,First,8.7 kmpl,2987 CC,224.34 bhp,5.0,10750.0
5742,Maruti Baleno Delta 1.2,2017,27000,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,4500.0
614,Hyundai Xcent 1.2 Kappa S,2014,7400,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,4350.0
4060,Maruti Celerio VXI AT,2015,59751,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,4880.0
2238,Honda Civic 2006-2010 1.8 V MT,2008,152000,Petrol,Manual,Second,13.5 kmpl,1799 CC,130 bhp,5.0,3000.0
4973,Hyundai Verna CRDi 1.6 SX Option,2008,109606,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,2900.0
3117,Maruti Zen Estilo LXI BS IV,2009,47000,Petrol,Manual,First,19.0 kmpl,998 CC,67.1 bhp,5.0,1460.0
4039,Mercedes-Benz R-Class R350 4Matic Long,2011,82000,Petrol,Automatic,Second,11.8 kmpl,3498 CC,272 bhp,7.0,16850.0
3677,Mahindra XUV500 W8 2WD,2015,65100,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,8360.0
3125,Hyundai i10 Sportz AT,2009,60510,Petrol,Automatic,Second,16.95 kmpl,1197 CC,78.9 bhp,5.0,3100.0
1015,Hyundai Verna 1.6 SX,2014,63003,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,6750.0
3348,Hyundai i20 Magna 1.4 CRDi,2014,64000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5.0,4250.0
2474,Mercedes-Benz CLA 200 CDI Style,2017,23106,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,27430.0
4483,Maruti Baleno Zeta Automatic,2017,33000,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,7250.0
5759,Hyundai Santro Xing XL eRLX Euro III,2007,46707,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,990.0
5781,Lamborghini Gallardo Coupe,2011,6500,Petrol,Automatic,Third,6.4 kmpl,5204 CC,560 bhp,2.0,120000.0
3700,Volkswagen Ameo 1.2 MPI Comfortline,2018,17370,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,5840.0
5866,Volkswagen Vento Magnific 1.6 Comfortline,2013,49106,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,4400.0
3640,Toyota Fortuner 2.8 4WD MT,2011,169006,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,10640.0
1129,Maruti Ertiga SHVS VDI,2018,38000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,8700.0
2603,Mercedes-Benz New C-Class 220 CDI AT,2010,74213,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,11500.0
3047,Volkswagen Polo Diesel Comfortline 1.2L,2012,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,2990.0
2408,Mahindra Scorpio S2 7 Seater,2014,87200,Diesel,Manual,First,15.4 kmpl,2523 CC,75 bhp,7.0,7750.0
1247,Maruti Swift VDI,2017,34613,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,6240.0
5303,Ford Figo 1.5D Trend MT,2015,4311,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5.0,4800.0
3215,Honda Mobilio S i VTEC,2015,26000,Petrol,Manual,First,17.3 kmpl,1497 CC,117.3 bhp,7.0,4250.0
63,Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5.0,10000.0
5733,Ford Figo Petrol ZXI,2012,75464,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5.0,3620.0
4482,Ford Fiesta 1.4 Duratec EXI,2008,74000,Petrol,Manual,Second,16.6 kmpl,1388 CC,68 bhp,5.0,1600.0
5831,Toyota Innova Crysta 2.4 G MT 8S,2017,20000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,16500.0
3893,Honda City 1.5 V MT,2009,79782,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,2600.0
2094,Maruti Dzire VDI,2015,28193,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,5250.0
4533,Tata Indigo eCS GLE BSIII,2013,70000,Petrol,Manual,Second,15.4 kmpl,1193 CC,65 bhp,5.0,1500.0
2302,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2017,36458,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,12340.0
